name,radius,mass,stellar_class,luminosity,temperature
Laland 21185,0.44,0.44,M1,0.023,3400
Barnard's Star,0.26,0.20,M4,0.0055,3100
Wolf 359,0.15,0.10,M6,0.0009,2600
Van Biesbroeck 8,0.12,0.09,M7,0.0006,2500
Van Biesbroeck 9,0.11,0.08,M8,0.0003,2400
Sirius B,0.0084,1.018,DA2,0.026,25200
Procyon B,0.012,0.602,DQZ,0.00049,7740
Van Maanen 2,0.0138,0.67,DZ8,0.00016,6130
Z Andromeda B,0.17,0.75,B1eq,1.5,90000
Wolf 489,0.013,0.55,DZ10.0,0.18,5030
54 Piscium B,0.082,0.051,T7.5V,0.0007,810
HN Peg B,0.101,0.014,L6,0.00008,1115
15 Sagittae B,0.1,0.064,L4,0.000075,1510
Epsilon Ind Bb,0.082,0.048,T6,0.000005,976
Eta Coronae Borealis C,0.087,0.06,L8,0.00008,1015
17 Eridani,3.2,3.55,B9 III,267.9,11143
63 Andromedae,2.4,3.07,B9VpSi,110,11967
Delta Librae A,3.94,4.9,B9.5,86,880
48 Librae,4.12,6.07,B3 Vsh,1100,7612
56 Aquarii,2.8,3.37,B8 II,184.5,11912
BI Cyngi,797,15,M4 lab,64000,3550
CK Carinae,761,6,M3.5lab,86000,3550
PZ Cassiopeiae,1062,5,M3Lab,229000,3605
AH Scorpii,1411,10,M4-5 la-lab,330000,3450
Mu Cephei,972,19.2,M2-lab,269000,3551
Rho Cassiopeiae,700,40,G2lae,400000,5000
R136a1,36,315,WN5h,8700000,53000
Earth,0.00917,0.000003,-,0,287
